combineId,combineYear,combinePosition,combineHeight,combineWeight,combineHand,nameFull,college,ageAtDraft,combineArm,combine40yd,combineVert,combineBench,combineShuttle,combineBroad,combine3cone,combine60ydShuttle
10130,1987,DE,78.3,292,9.25,Shawn Knight,BYU,22.912328767123300,32.25,,,23.0,,,,
10131,1987,WR,68.4,171,9.5,Fred Lane,Georgia,,31.0,4.48,25.0,2.0,4.36,109.0,,11.93
10132,1987,WR,72.8,195,,Gary Lee,Georgia Tech,22.21917808219180,,4.53,31.5,4.0,,117.0,,
10133,1987,FS,73.3,199,9.25,John Little,Georgia,,30.0,4.66,29.0,,4.19,113.0,,11.65
10134,1987,WR,70.6,175,8.75,Charles Lockett,Cal State-Long Beach,21.586301369863000,30.0,4.45,33.0,3.0,4.39,113.0,,12.0
10135,1987,OLB,74.0,228,9.5,Danny Lockett,Arizona,22.81095890410960,32.0,4.83,30.5,21.0,4.39,120.0,,12.18
10136,1987,OT,78.5,286,10.0,Joe MacEsker,Texas-El Paso,21.613698630137000,33.0,5.23,25.5,22.0,5.01,106.0,,
10137,1987,CB,70.6,186,9.75,Milton Mack,Alcorn State (MS),23.61917808219180,30.0,4.53,34.5,12.0,4.22,118.0,,11.32
10138,1987,OLB,75.0,239,8.5,Terence Mack,Clemson,22.816438356164400,31.5,,26.0,16.0,,107.0,,
10139,1987,QB,73.5,199,9.0,Don Majkowski,Virginia,23.186301369863000,32.25,4.83,34.0,,4.13,116.0,,
10140,1987,K,69.6,206,8.75,Massimo Manca,Penn State,,29.0,5.18,21.0,,4.73,91.0,,
10141,1987,FB,72.0,232,9.25,Tim Manoa,Penn State,22.646575342465800,31.5,4.71,24.5,22.0,4.35,106.0,,12.08
10142,1987,FB,73.1,219,10.0,Warren Marshall,James Madison (VA),22.775342465753400,30.75,4.68,26.5,14.0,4.56,111.0,,12.19
10143,1987,WR,73.5,183,,Willie Marshall,Temple,22.945205479452100,,4.59,32.5,3.0,,120.0,,
10144,1987,WR,69.0,160,,Kelvin Martin,Boston,21.96986301369860,,4.55,29.0,7.0,4.14,112.0,,11.39
10145,1987,DE,77.0,266,9.0,Skip McClendon,Arizona State,23.065753424657500,33.25,5.12,28.0,12.0,4.52,112.0,,
10146,1987,FB,72.0,221,9.25,David McCluskey,Georgia,23.493150684931500,31.5,4.71,22.5,,4.37,101.0,,12.06
10147,1987,SS,74.5,207,8.75,Tim McDonald,USC,22.32054794520550,32.0,4.72,33.0,6.0,4.27,122.0,,11.78
10148,1987,DE,76.0,271,9.75,Thomas Mchale,Cornell,,32.5,5.21,25.0,,4.61,,,
